
Running n-fold validation on Iris data
0 1 2 - 95.6%
0 3 5 - 93.9%
0 3 6 - 92.3%
0 3 7 - 93.1%
0 3 8 - 93.8%
0 3 9 - 93.1%
0 4 5 - 95.4%
0 4 6 - 92.2%
0 4 7 - 90.8%
0 4 8 - 93.8%
0 4 9 - 92.3%
0 5 6 - 93.8%
0 5 7 - 92.4%
0 5 8 - 95.4%
0 5 9 - 95.4%
0 6 7 - 91.5%
0 6 8 - 94.6%
0 6 9 - 91.5%
0 7 8 - 94.6%
0 7 9 - 91.6%
0 8 9 - 94.6%
1 2 3 - 93.9%
1 2 4 - 94.6%
1 2 5 - 94.7%
1 2 6 - 93.1%
1 2 7 - 94.7%
1 2 8 - 93.8%
1 2 9 - 92.4%
1 3 4 - 92.4%
1 3 5 - 95.5%
1 3 6 - 94.7%
1 3 7 - 95.5%
1 3 8 - 95.4%
1 3 9 - 94.7%
1 4 5 - 93.9%
1 4 6 - 94.6%
1 4 7 - 94.7%
1 4 8 - 93.1%
1 4 9 - 91.6%
1 5 6 - 93.9%
1 5 7 - 95.5%
1 5 8 - 95.4%
1 5 9 - 94.7%
1 6 7 - 93.9%
1 6 8 - 94.6%
1 6 9 - 90.8%
1 7 8 - 95.4%
1 7 9 - 89.4%
1 8 9 - 93.1%
2 3 4 - 93.1%
2 3 5 - 93.9%
2 3 6 - 93.1%
2 3 7 - 93.9%
2 3 8 - 93.8%
2 3 9 - 93.1%
2 4 5 - 93.1%
2 4 6 - 93.0%
2 4 7 - 93.1%
2 4 8 - 92.2%
2 4 9 - 92.3%
2 5 6 - 93.8%
2 5 7 - 94.7%
2 5 8 - 92.3%
2 5 9 - 95.4%
2 6 7 - 93.8%
2 6 8 - 91.5%
2 6 9 - 93.1%
2 7 8 - 93.1%
2 7 9 - 94.7%
2 8 9 - 93.1%
3 4 5 - 91.6%
3 4 6 - 95.4%
3 4 7 - 94.7%
3 4 8 - 93.8%
3 4 9 - 91.6%
3 5 6 - 91.6%
3 5 7 - 94.7%
3 5 8 - 95.4%
3 5 9 - 95.5%
3 6 7 - 94.7%
3 6 8 - 94.6%
3 6 9 - 93.9%
3 7 8 - 94.7%
3 7 9 - 92.4%
3 8 9 - 94.7%
4 5 6 - 92.3%
4 5 7 - 91.6%
4 5 8 - 93.8%
4 5 9 - 91.6%
4 6 7 - 93.8%
4 6 8 - 92.2%
4 6 9 - 93.1%
4 7 8 - 93.1%
4 7 9 - 89.3%
4 8 9 - 92.3%
5 6 7 - 93.9%
5 6 8 - 92.3%
5 6 9 - 93.9%
5 7 8 - 94.7%
5 7 9 - 96.2%
5 8 9 - 95.4%
6 7 8 - 94.6%
6 7 9 - 91.6%
6 8 9 - 93.1%
7 8 9 - 91.6%


Best accuracy: 
5 7 9 - 96.2%

Average accuracy: 
93.4%

Best matrix: 
Rows:Targets
Cols:Prediction
[democrat, republican]
| 76  |  4  | T:democrat
|  1  | 51  | T:republican


Iris decision tree
(petal_width)
  --inf->0.34: [Iris-setosa]
  -0.34->0.58: [Iris-setosa]
  -0.58->0.82: [Iris-setosa]
  -0.82->1.06: [Iris-versicolor]
  -1.06->1.30: [Iris-versicolor]
  -1.30->1.54: (petal_length)
    -3.36->3.95: [Iris-versicolor]
    -3.95->4.54: [Iris-versicolor]
    -4.54->5.13: (sepal_length)
      -5.74->6.10: [Iris-virginica]
      -6.10->6.46: (sepal_width)
        -2.48->2.72: [Iris-versicolor]
        -2.72->2.96: [Iris-versicolor]
        -2.96->3.20: [Iris-versicolor]
      -6.46->6.82: [Iris-versicolor]
      -6.82->7.18: [Iris-versicolor]
    -5.13->5.72: [Iris-virginica]
  -1.54->1.78: (sepal_length)
    -4.66->5.02: [Iris-virginica]
    -5.74->6.10: [Iris-versicolor]
    -6.10->6.46: [Iris-versicolor]
    -7.18->7.54: [Iris-virginica]
  -1.78->2.02: (sepal_length)
    -5.38->5.74: [Iris-virginica]
    -5.74->6.10: (sepal_width)
      -2.48->2.72: [Iris-virginica]
      -2.96->3.20: [Iris-virginica]
      -3.20->3.44: [Iris-versicolor]
    -6.10->6.46: [Iris-virginica]
    -6.46->6.82: [Iris-virginica]
    -7.18->7.54: [Iris-virginica]
    -7.54->inf: [Iris-virginica]
  -2.02->2.26: [Iris-virginica]
  -2.26->inf: [Iris-virginica]

Lenses decision tree(See documentation for number interpretation)
(Tear production rate)
  -1:     [3]
  -2:     (Astigmatic)
    -1:     (Age)
      -1:     [2]
      -2:     [2]
      -3:     (Perscription)
        -1:     [3]
        -2:     [2]
    -2:     (Perscription)
      -1:     [1]
      -2:     (Age)
        -1:     [1]
        -2:     [3]
        -3:     [3]

Voting decision tree
(physician-fee-freeze)
  -?:     (water-project-cost-sharing)
    -?:     [republican]
    -y:     [democrat]
  -n:     (adoption-of-the-budget-resolution)
    -?:     [democrat]
    -n:     (education-spending)
      -?:     [republican]
      -n:     (synfuels-corporation-cutback)
        -n:     (religious-groups-in-schools)
          -n:     (crime)
            -n:     [democrat]
            -y:     [republican]
          -y:     [democrat]
        -y:     [democrat]
      -y:     [democrat]
    -y:     [democrat]
  -y:     (synfuels-corporation-cutback)
    -?:     [republican]
    -n:     (export-administration-act-south-africa)
      -?:     (adoption-of-the-budget-resolution)
        -n:     [republican]
        -y:     (anti-satellite-test-ban)
          -n:     [democrat]
          -y:     [republican]
      -n:     [republican]
      -y:     (superfund-right-to-sue)
        -?:     (handicapped-infants)
          -n:     [democrat]
          -y:     [republican]
        -n:     [republican]
        -y:     [republican]
    -y:     (mx-missile)
      -n:     (export-administration-act-south-africa)
        -?:     (education-spending)
          -?:     [republican]
          -n:     [democrat]
          -y:     (water-project-cost-sharing)
            -n:     [republican]
            -y:     [democrat]
        -n:     (handicapped-infants)
          -n:     (water-project-cost-sharing)
            -n:     [democrat]
            -y:     (adoption-of-the-budget-resolution)
              -n:     (superfund-right-to-sue)
                -n:     [democrat]
                -y:     [republican]
              -y:     [democrat]
          -y:     [republican]
        -y:     [republican]
      -y:     [democrat]
